Я звоню одному старому другу;Ich rufe_einem alten_Freund an (alt);ADJECTDECLIN
Мы благодарим одному доброму учителю;Wir danken_einem netten_Lehrer (nett);ADJECTDECLIN
Он помогает одному молодому соседу;Er hilft_einem jungen_Nachbarn (jung);ADJECTDECLIN
Я отвечаю одному вежливому продавцу;Ich antworte_einem höflichen_Verkäufer (höflich);ADJECTDECLIN
Она доверяет одному честному мужчине;Sie vertraut_einem ehrlichen_Mann (ehrlich);ADJECTDECLIN
Я помогаю одной пожилой женщине;Ich helfe_einer älteren_Frau (alt);ADJECTDECLIN
Мы доверяем одной надёжной коллеге;Wir vertrauen_einer zuverlässigen_Kollegin (zuverlässig);ADJECTDECLIN
Он отвечает одной доброй учительнице;Er antwortet_einer netten_Lehrerin (nett);ADJECTDECLIN
Ты звонишь одной весёлой подруге;Du rufst_einer fröhlichen_Freundin an (fröhlich);ADJECTDECLIN
Я благодарю одной внимательной матери;Ich danke_einer aufmerksamen_Mutter (aufmerksam);ADJECTDECLIN
Он работает за одним новым компьютером;Er arbeitet an_einem neuen_Computer (neu);ADJECTDECLIN
Мы спим в одном уютном отеле;Wir schlafen in_einem gemütlichen_Hotel (gemütlich);ADJECTDECLIN
Ты сидишь на одном удобном кресле;Du sitzt auf_einem bequemen_Sofa (bequem);ADJECTDECLIN
Я играю с одним старым Handy;Ich spiele mit_einem alten_Handy (alt);ADJECTDECLIN
Она говорит о одном интересном Thema;Sie spricht über_einem interessanten_Thema (interessant);ADJECTDECLIN
Я не помогаю никаким незнакомым людям;Ich helfe_keinen fremden_Leuten (fremd);ADJECTDECLIN
Мы не доверяем никаким сомнительным источникам;Wir vertrauen_keinen zweifelhaften_Quellen (zweifelhaft);ADJECTDECLIN
Она не пишет никаким ленивым ученикам;Sie schreibt_keinen faulen_Schülern (faul);ADJECTDECLIN
Ты не отвечаешь никаким старым сообщениям;Du antwortest_keinen alten_Nachrichten (alt);ADJECTDECLIN
Я не говорю с никакими грубыми гостями;Ich spreche mit_keinen unhöflichen_Gästen (unhöflich);ADJECTDECLIN
Я пишу старому другу сообщение;Ich schreibe_altem_Freund eine Nachricht (alt);ADJECTDECLIN
Он помогает доброму учителю;Er hilft_nettem_Lehrer (nett);ADJECTDECLIN
Мы звоним молодому соседу;Wir rufen_jungem_Nachbarn an (jung);ADJECTDECLIN
Ты благодаришь опытному водителю;Du dankst_erfahrenem_Fahrer (erfahren);ADJECTDECLIN
Она отвечает строгому тренеру;Sie antwortet_strengem_Trainer (streng);ADJECTDECLIN
Я помогаю старой женщине;Ich helfe_alter_Frau (alt);ADJECTDECLIN
Он звонит весёлой подруге;Er ruft_fröhlicher_Freundin an (fröhlich);ADJECTDECLIN
Мы благодарим доброй учительнице;Wir danken_netter_Lehrerin (nett);ADJECTDECLIN
Ты доверяешь опытной коллеге;Du vertraust_erfahrener_Kollegin (erfahren);ADJECTDECLIN
Она отвечает заботливой маме;Sie antwortet_liebevoller_Mutter (liebevoll);ADJECTDECLIN
Он работает на новом компьютере;Er arbeitet an_neuem_Computer (neu);ADJECTDECLIN
Мы сидим в уютном кафе;Wir sitzen in_gemütlichem_Café (gemütlich);ADJECTDECLIN
Ты отдыхаешь на чистом пляже;Du entspannst dich an_sauberem_Strand (sauber);ADJECTDECLIN
Я играю с умным роботом;Ich spiele mit_intelligentem_Roboter (intelligent);ADJECTDECLIN
Она едет к закрытому зданию;Sie fährt zu_geschlossenem_Gebäude (geschlossen);ADJECTDECLIN
Я не доверяю шумным соседям;Ich vertraue_lauten_Nachbarn nicht (laut);ADJECTDECLIN
Он отвечает внимательным ученикам;Er antwortet_aufmerksamen_Schülern (aufmerksam);ADJECTDECLIN
Мы благодарим гостеприимным хозяевам;Wir danken_gastfreundlichen_Gastgebern (gastfreundlich);ADJECTDECLIN
Ты помогаешь пожилым людям;Du hilfst_älteren_Leuten (alt);ADJECTDECLIN
Она разговаривает с весёлыми гостями;Sie spricht mit_fröhlichen_Gästen (fröhlich);ADJECTDECLIN
Новые дома строятся быстро;_Neue_Häuser werden schnell gebaut (neu);ADJECTDECLIN
Маленькие дети играют в саду;_Kleine_Kinder spielen im Garten (klein);ADJECTDECLIN
Умные ученики отвечают правильно;_Kluge_Schüler antworten richtig (klug);ADJECTDECLIN
Красивые подарки лежат под ёлкой;_Schöne_Geschenke liegen unter dem Baum (schön);ADJECTDECLIN
Старые компьютеры работают медленно;_Alte_Computer arbeiten langsam (alt);ADJECTDECLIN
Я вижу маленьких детей в парке;Ich sehe _kleine_Kinder im Park (klein);ADJECTDECLIN
Мы покупаем новые книги;Wir kaufen_neue_Bücher (neu);ADJECTDECLIN
Она кормит голодных животных;Sie füttert_hungrige_Tiere (hungrig);ADJECTDECLIN
Ты ремонтируешь старые компьютеры;Du reparierst_alte_Computer (alt);ADJECTDECLIN
Я вижу красивые платья в витрине;Ich sehe_schöne_Kleider im Schaufenster (schön);ADJECTDECLIN
