Noun;Frequency_per_Million;Translation;CEFR
das Cyan;1.97;циан (цвет);B2
das Animationsprogramm;2.16;анимационная программа;B2
das Barockschloss;2.31;барочный дворец;B2
das Alltagsgerät;2.37;повседневное устройство;B2
das DVD-Laufwerk;2.41;DVD-привод;B1
das Bürogeflüster;2.47;офисные слухи;B2
das Bienengift;2.63;пчелиный яд;B2
das Serail;2.76;гарем, сераль;B2
das Partnervermittlungsinstitut;2.88;брачное агентство;B2
das Ausstellungsprogramm;2.98;программа выставки;B2
das Angesicht;3.01;лицо (поэтическое);B2
das Pläsier;3.17;удовольствие (уст.);B2
das Dienstreiseformular;3.42;бланк командировки;B2
das Autoabgas;3.46;автомобильный выхлоп;B2
der Abendsonnenglanz;3.52;сияние вечернего солнца;B2
das Geschichtsdenkmal;3.57;исторический памятник;B2
das Computergeräusch;3.57;шум компьютера;B2
das Telegeschäft;3.64;дистанционная сделка;B2
das Neudeutsch;3.66;современный немецкий;B2
das Bankformular;3.74;банковский бланк;B2
das Süßwasserschwimmbecken;3.74;бассейн с пресной водой;B2
das Freizeitgeschäft;3.87;индустрия досуга;B2
das Gartenparadies;3.87;садовый рай;B2
der Bayerntorhüter;3.89;вратарь Баварии;B2
das Fachgymnasium;3.91;профильная гимназия;B2
das Kammerspiel;3.94;камерная пьеса;B2
das Gewandhaus;3.96;Гевандхаус (концертный зал);B2
das Autobahnkreuz;4.12;перекрёсток автомагистралей;B2
das Antiquariat;4.23;букинистический магазин;B2
das Vieraugengespräch;4.24;разговор с глазу на глаз;B2
das Billigticket;4.25;дешёвый билет;A2
das Operndebüt;4.27;дебют в опере;B2
das Energieproblem;4.36;энергетическая проблема;B2
das Desinteresse;4.36;незаинтересованность;B1
das Grundmotiv;4.41;основной мотив;B2
das Kilobyte;4.42;килобайт;B2
das Gifttier;4.57;ядовитое животное;B2
das Faultier;4.62;ленивец;B1
das Übersetzerstudium;4.67;обучение переводчика;B2
das Auslandsstudium;4.73;учёба за границей;B1
das Gartenkraut;4.76;садовая трава, пряность;B2
das Jahresbudget;4.81;годовой бюджет;B2
das Exportprodukt;4.83;экспортный товар;B1
das Kopierpapier;4.84;бумага для копирования;B1
